attendance_id,student_id,course_id,term,month,sessions_held,sessions_attended
A001,S001,C101,2026-Spring,2026-01,8,8
A002,S001,C101,2026-Spring,2026-02,8,7
A003,S001,C101,2026-Spring,2026-03,8,7
A004,S001,C102,2026-Spring,2026-01,8,7
A005,S001,C102,2026-Spring,2026-02,8,8
A006,S001,C102,2026-Spring,2026-03,8,7
A007,S002,C101,2026-Spring,2026-01,8,7
A008,S002,C101,2026-Spring,2026-02,8,6
A009,S002,C101,2026-Spring,2026-03,8,5
A010,S002,C104,2026-Spring,2026-01,8,8
A011,S002,C104,2026-Spring,2026-02,8,7
A012,S002,C104,2026-Spring,2026-03,8,6
A013,S003,C103,2026-Spring,2026-01,8,6
A014,S003,C103,2026-Spring,2026-02,8,5
A015,S003,C103,2026-Spring,2026-03,8,5
A016,S003,C105,2026-Spring,2026-01,8,7
A017,S003,C105,2026-Spring,2026-02,8,6
A018,S003,C105,2026-Spring,2026-03,8,5
A019,S004,C101,2026-Spring,2026-01,8,5
A020,S004,C101,2026-Spring,2026-02,8,4
A021,S004,C101,2026-Spring,2026-03,8,4
A022,S004,C104,2026-Spring,2026-01,8,6
A023,S004,C104,2026-Spring,2026-02,8,5
A024,S004,C104,2026-Spring,2026-03,8,4
A025,S005,C101,2026-Spring,2026-01,8,8
A026,S005,C101,2026-Spring,2026-02,8,8
A027,S005,C101,2026-Spring,2026-03,8,8
A028,S005,C103,2026-Spring,2026-01,8,7
A029,S005,C103,2026-Spring,2026-02,8,8
A030,S005,C103,2026-Spring,2026-03,8,8
A031,S006,C102,2026-Spring,2026-01,8,7
A032,S006,C102,2026-Spring,2026-02,8,7
A033,S006,C102,2026-Spring,2026-03,8,6
A034,S006,C103,2026-Spring,2026-01,8,6
A035,S006,C103,2026-Spring,2026-02,8,6
A036,S006,C103,2026-Spring,2026-03,8,5
A037,S007,C103,2026-Spring,2026-01,8,8
A038,S007,C103,2026-Spring,2026-02,8,7
A039,S007,C103,2026-Spring,2026-03,8,7
A040,S007,C104,2026-Spring,2026-01,8,7
A041,S007,C104,2026-Spring,2026-02,8,7
A042,S007,C104,2026-Spring,2026-03,8,6
A043,S008,C101,2026-Spring,2026-01,8,4
A044,S008,C101,2026-Spring,2026-02,8,5
A045,S008,C101,2026-Spring,2026-03,8,4
A046,S008,C102,2026-Spring,2026-01,8,5
A047,S008,C102,2026-Spring,2026-02,8,5
A048,S008,C102,2026-Spring,2026-03,8,4
